GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US040130101011,040130101011,"Block Group 1, Census Tract 101.01, Maricopa County, Arizona",1306,296,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,23,0,13,14,22,16,25,0,13,0,13,0,13,49,74,246,142,28,33,123,91,122,73,192,104,308,143,194,110,0,13,0,13
1500000US040130101012,040130101012,"Block Group 2, Census Tract 101.01, Maricopa County, Arizona",1584,323,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,176,115,0,13,35,34,224,120,208,169,627,245,161,83,124,83,29,34
1500000US040130101013,040130101013,"Block Group 3, Census Tract 101.01, Maricopa County, Arizona",1196,444,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,27,29,24,13,20,0,13,277,278,0,13,71,50,187,79,61,52,339,158,145,106,44,52,13,21
1500000US040130101021,040130101021,"Block Group 1, Census Tract 101.02, Maricopa County, Arizona",587,277,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,37,40,25,41,14,21,72,50,131,129,185,137,26,29,32,36,65,87
1500000US040130101022,040130101022,"Block Group 2, Census Tract 101.02, Maricopa County, Arizona",1963,417,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,122,126,0,13,86,53,230,134,56,69,762,229,573,283,28,33,106,115
1500000US040130101023,040130101023,"Block Group 3, Census Tract 101.02, Maricopa County, Arizona",1460,349,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,54,88,0,13,0,13,0,13,17,26,93,65,0,13,79,91,164,83,32,36,555,227,290,118,136,83,40,35
1500000US040130304011,040130304011,"Block Group 1, Census Tract 304.01, Maricopa County, Arizona",1267,318,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,18,31,0,13,0,13,247,192,0,13,7,16,255,161,107,107,300,117,143,106,100,104,90,86
1500000US040130304012,040130304012,"Block Group 2, Census Tract 304.01, Maricopa County, Arizona",1244,371,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,16,26,130,114,38,63,18,30,198,137,91,101,481,201,202,137,51,82,19,32
1500000US040130304013,040130304013,"Block Group 3, Census Tract 304.01, Maricopa County, Arizona",837,202,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,18,28,0,13,0,13,0,13,0,13,48,58,0,13,49,43,106,121,17,26,298,131,241,138,29,33,31,35
1500000US040130304021,040130304021,"Block Group 1, Census Tract 304.02, Maricopa County, Arizona",393,161,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,17,0,13,0,13,32,35,0,13,0,13,92,64,24,30,169,123,57,53,8,13,0,13
1500000US040130304022,040130304022,"Block Group 2, Census Tract 304.02, Maricopa County, Arizona",1245,284,8,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,15,8,14,145,71,10,17,52,44,217,105,109,66,327,165,255,143,92,97,13,21
1500000US040130304023,040130304023,"Block Group 3, Census Tract 304.02, Maricopa County, Arizona",1382,268,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,20,32,13,21,20,21,150,84,13,21,96,74,262,126,92,70,449,128,224,139,16,26,27,31
1500000US040130405021,040130405021,"Block Group 1, Census Tract 405.02, Maricopa County, Arizona",272,130,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,3,6,0,13,35,55,0,13,72,64,0,13,13,20,34,38,53,85,11,18,51,65,0,13,0,13
1500000US040130405022,040130405022,"Block Group 2, Census Tract 405.02, Maricopa County, Arizona",418,171,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,37,62,0,13,0,13,20,32,12,19,17,29,0,13,76,54,48,62,24,28,71,52,38,43,26,30,36,36,13,21,0,13
1500000US040130405023,040130405023,"Block Group 3, Census Tract 405.02, Maricopa County, Arizona",2059,361,0,13,0,13,0,13,0,13,0,13,43,68,0,13,0,13,49,62,88,127,86,84,28,32,31,32,70,54,3,8,573,195,26,29,132,77,441,187,53,44,243,158,129,95,64,51,0,13
1500000US040130405024,040130405024,"Block Group 4, Census Tract 405.02, Maricopa County, Arizona",1117,284,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,60,78,0,13,14,27,33,32,0,13,372,143,27,30,130,99,259,140,114,79,75,48,33,53,0,13,0,13
1500000US040130405061,040130405061,"Block Group 1, Census Tract 405.06, Maricopa County, Arizona",2129,366,15,24,0,13,0,13,14,23,0,13,0,13,0,13,0,13,0,13,14,23,0,13,0,13,68,64,0,13,8,10,710,190,32,37,219,114,283,120,163,113,385,124,150,89,36,56,32,36
1500000US040130405062,040130405062,"Block Group 2, Census Tract 405.06, Maricopa County, Arizona",1191,210,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,16,27,0,13,17,27,0,13,0,13,228,107,0,13,91,61,288,125,89,51,231,114,141,73,14,23,76,55
1500000US040130405063,040130405063,"Block Group 3, Census Tract 405.06, Maricopa County, Arizona",927,183,0,13,0,13,0,13,0,13,0,13,0,13,24,40,0,13,0,13,27,30,0,13,0,13,16,26,39,37,15,23,160,81,0,13,132,72,188,72,26,31,189,87,84,60,0,13,27,42
1500000US040130405064,040130405064,"Block Group 4, Census Tract 405.06, Maricopa County, Arizona",1050,191,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,23,15,23,16,25,0,13,305,132,16,24,92,70,128,88,108,60,226,86,116,66,0,13,14,23
1500000US040130405071,040130405071,"Block Group 1, Census Tract 405.07, Maricopa County, Arizona",1488,209,13,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,13,29,20,31,0,13,32,49,0,13,257,115,33,42,66,45,348,130,181,96,348,130,123,93,28,31,26,29
1500000US040130405072,040130405072,"Block Group 2, Census Tract 405.07, Maricopa County, Arizona",2536,294,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,23,0,13,0,13,17,29,0,13,19,31,14,22,70,46,639,161,123,81,163,74,400,145,278,133,481,189,254,127,46,44,18,28
1500000US040130405073,040130405073,"Block Group 3, Census Tract 405.07, Maricopa County, Arizona",682,230,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,23,0,13,152,75,18,30,47,35,102,107,25,40,184,128,126,65,0,13,14,22
1500000US040130405074,040130405074,"Block Group 4, Census Tract 405.07, Maricopa County, Arizona",784,201,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,22,34,0,13,0,13,14,21,16,25,294,167,13,20,61,50,93,88,51,48,162,69,33,38,25,39,0,13
