GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
1500000US040130101011,040130101011,"Block Group 1, Census Tract 101.01, Maricopa County, Arizona",113661,56514
1500000US040130101012,040130101012,"Block Group 2, Census Tract 101.01, Maricopa County, Arizona",107560,31563
1500000US040130101013,040130101013,"Block Group 3, Census Tract 101.01, Maricopa County, Arizona",108276,65666
1500000US040130101021,040130101021,"Block Group 1, Census Tract 101.02, Maricopa County, Arizona",150189,29132
1500000US040130101022,040130101022,"Block Group 2, Census Tract 101.02, Maricopa County, Arizona",140375,41837
1500000US040130101023,040130101023,"Block Group 3, Census Tract 101.02, Maricopa County, Arizona",127222,44638
1500000US040130304011,040130304011,"Block Group 1, Census Tract 304.01, Maricopa County, Arizona",90565,23087
1500000US040130304012,040130304012,"Block Group 2, Census Tract 304.01, Maricopa County, Arizona",57847,41073
1500000US040130304013,040130304013,"Block Group 3, Census Tract 304.01, Maricopa County, Arizona",121250,21129
1500000US040130304021,040130304021,"Block Group 1, Census Tract 304.02, Maricopa County, Arizona",64875,78342
1500000US040130304022,040130304022,"Block Group 2, Census Tract 304.02, Maricopa County, Arizona",77426,29653
1500000US040130304023,040130304023,"Block Group 3, Census Tract 304.02, Maricopa County, Arizona",81641,22055
1500000US040130405021,040130405021,"Block Group 1, Census Tract 405.02, Maricopa County, Arizona",43438,47180
1500000US040130405022,040130405022,"Block Group 2, Census Tract 405.02, Maricopa County, Arizona",42577,9637
1500000US040130405023,040130405023,"Block Group 3, Census Tract 405.02, Maricopa County, Arizona",24888,9285
1500000US040130405024,040130405024,"Block Group 4, Census Tract 405.02, Maricopa County, Arizona",49167,13578
1500000US040130405061,040130405061,"Block Group 1, Census Tract 405.06, Maricopa County, Arizona",35164,6387
1500000US040130405062,040130405062,"Block Group 2, Census Tract 405.06, Maricopa County, Arizona",38144,10487
1500000US040130405063,040130405063,"Block Group 3, Census Tract 405.06, Maricopa County, Arizona",47863,10247
1500000US040130405064,040130405064,"Block Group 4, Census Tract 405.06, Maricopa County, Arizona",38333,7194
1500000US040130405071,040130405071,"Block Group 1, Census Tract 405.07, Maricopa County, Arizona",45849,6626
1500000US040130405072,040130405072,"Block Group 2, Census Tract 405.07, Maricopa County, Arizona",36157,6443
1500000US040130405073,040130405073,"Block Group 3, Census Tract 405.07, Maricopa County, Arizona",37946,9870
1500000US040130405074,040130405074,"Block Group 4, Census Tract 405.07, Maricopa County, Arizona",49135,15195
1500000US040130405075,040130405075,"Block Group 5, Census Tract 405.07, Maricopa County, Arizona",49261,13911
1500000US040130405121,040130405121,"Block Group 1, Census Tract 405.12, Maricopa County, Arizona",50759,8254
1500000US040130405131,040130405131,"Block Group 1, Census Tract 405.13, Maricopa County, Arizona",51758,5562
1500000US040130405132,040130405132,"Block Group 2, Census Tract 405.13, Maricopa County, Arizona",60247,5013
1500000US040130405141,040130405141,"Block Group 1, Census Tract 405.14, Maricopa County, Arizona",41096,3866
1500000US040130405142,040130405142,"Block Group 2, Census Tract 405.14, Maricopa County, Arizona",55600,7512
1500000US040130405151,040130405151,"Block Group 1, Census Tract 405.15, Maricopa County, Arizona",42250,6244
1500000US040130405152,040130405152,"Block Group 2, Census Tract 405.15, Maricopa County, Arizona",53750,14971
1500000US040130405161,040130405161,"Block Group 1, Census Tract 405.16, Maricopa County, Arizona",46500,21396
1500000US040130405162,040130405162,"Block Group 2, Census Tract 405.16, Maricopa County, Arizona",75608,11712
1500000US040130405171,040130405171,"Block Group 1, Census Tract 405.17, Maricopa County, Arizona",38447,15736
1500000US040130405172,040130405172,"Block Group 2, Census Tract 405.17, Maricopa County, Arizona",42335,11795
1500000US040130405181,040130405181,"Block Group 1, Census Tract 405.18, Maricopa County, Arizona",39167,13393
1500000US040130405182,040130405182,"Block Group 2, Census Tract 405.18, Maricopa County, Arizona",53333,14938
1500000US040130405183,040130405183,"Block Group 3, Census Tract 405.18, Maricopa County, Arizona",59490,11631
1500000US040130405184,040130405184,"Block Group 4, Census Tract 405.18, Maricopa County, Arizona",85099,3950
1500000US040130405185,040130405185,"Block Group 5, Census Tract 405.18, Maricopa County, Arizona",52406,38495
1500000US040130405191,040130405191,"Block Group 1, Census Tract 405.19, Maricopa County, Arizona",84258,19386
1500000US040130405192,040130405192,"Block Group 2, Census Tract 405.19, Maricopa County, Arizona",91111,33167
1500000US040130405193,040130405193,"Block Group 3, Census Tract 405.19, Maricopa County, Arizona",71213,15258
1500000US040130405201,040130405201,"Block Group 1, Census Tract 405.20, Maricopa County, Arizona",84531,45723
1500000US040130405202,040130405202,"Block Group 2, Census Tract 405.20, Maricopa County, Arizona",112083,89996
1500000US040130405211,040130405211,"Block Group 1, Census Tract 405.21, Maricopa County, Arizona",90183,14458
1500000US040130405221,040130405221,"Block Group 1, Census Tract 405.22, Maricopa County, Arizona",43214,7991
1500000US040130405222,040130405222,"Block Group 2, Census Tract 405.22, Maricopa County, Arizona",45631,4144
1500000US040130405223,040130405223,"Block Group 3, Census Tract 405.22, Maricopa County, Arizona",64498,7830
1500000US040130405231,040130405231,"Block Group 1, Census Tract 405.23, Maricopa County, Arizona",68143,7933
1500000US040130405241,040130405241,"Block Group 1, Census Tract 405.24, Maricopa County, Arizona",74271,14424
1500000US040130405242,040130405242,"Block Group 2, Census Tract 405.24, Maricopa County, Arizona",56641,20647
1500000US040130405251,040130405251,"Block Group 1, Census Tract 405.25, Maricopa County, Arizona",50357,11616
1500000US040130405252,040130405252,"Block Group 2, Census Tract 405.25, Maricopa County, Arizona",68125,27748
1500000US040130405253,040130405253,"Block Group 3, Census Tract 405.25, Maricopa County, Arizona",57885,10928
1500000US040130405254,040130405254,"Block Group 4, Census Tract 405.25, Maricopa County, Arizona",47301,17618
1500000US040130405255,040130405255,"Block Group 5, Census Tract 405.25, Maricopa County, Arizona",59185,26996
1500000US040130405256,040130405256,"Block Group 6, Census Tract 405.25, Maricopa County, Arizona",51964,9424
1500000US040130405261,040130405261,"Block Group 1, Census Tract 405.26, Maricopa County, Arizona",51552,11310
1500000US040130405262,040130405262,"Block Group 2, Census Tract 405.26, Maricopa County, Arizona",56955,7926
1500000US040130405263,040130405263,"Block Group 3, Census Tract 405.26, Maricopa County, Arizona",57778,15711
1500000US040130405271,040130405271,"Block Group 1, Census Tract 405.27, Maricopa County, Arizona",44408,19235
1500000US040130405272,040130405272,"Block Group 2, Census Tract 405.27, Maricopa County, Arizona",41615,12147
1500000US040130405273,040130405273,"Block Group 3, Census Tract 405.27, Maricopa County, Arizona",61750,15682
1500000US040130405281,040130405281,"Block Group 1, Census Tract 405.28, Maricopa County, Arizona",63482,3837
1500000US040130405282,040130405282,"Block Group 2, Census Tract 405.28, Maricopa County, Arizona",40185,4689
1500000US040130405283,040130405283,"Block Group 3, Census Tract 405.28, Maricopa County, Arizona",52526,5583
1500000US040130405284,040130405284,"Block Group 4, Census Tract 405.28, Maricopa County, Arizona",47017,11454
1500000US040130405285,040130405285,"Block Group 5, Census Tract 405.28, Maricopa County, Arizona",57612,14490
1500000US040130405286,040130405286,"Block Group 6, Census Tract 405.28, Maricopa County, Arizona",56719,20248
1500000US040130405291,040130405291,"Block Group 1, Census Tract 405.29, Maricopa County, Arizona",48472,15891
1500000US040130405292,040130405292,"Block Group 2, Census Tract 405.29, Maricopa County, Arizona",45431,5615
1500000US040130405293,040130405293,"Block Group 3, Census Tract 405.29, Maricopa County, Arizona",35375,12147
1500000US040130405294,040130405294,"Block Group 4, Census Tract 405.29, Maricopa County, Arizona",52500,18763
1500000US040130405301,040130405301,"Block Group 1, Census Tract 405.30, Maricopa County, Arizona",53333,2758
1500000US040130405302,040130405302,"Block Group 2, Census Tract 405.30, Maricopa County, Arizona",45809,15096
1500000US040130405311,040130405311,"Block Group 1, Census Tract 405.31, Maricopa County, Arizona",40268,15135
1500000US040130405312,040130405312,"Block Group 2, Census Tract 405.31, Maricopa County, Arizona",46284,12287
1500000US040130405313,040130405313,"Block Group 3, Census Tract 405.31, Maricopa County, Arizona",22222,4763
1500000US040130405314,040130405314,"Block Group 4, Census Tract 405.31, Maricopa County, Arizona",36989,14444
1500000US040130506031,040130506031,"Block Group 1, Census Tract 506.03, Maricopa County, Arizona",50625,18091
1500000US040130506032,040130506032,"Block Group 2, Census Tract 506.03, Maricopa County, Arizona",56951,12676
1500000US040130506033,040130506033,"Block Group 3, Census Tract 506.03, Maricopa County, Arizona",36250,14215
1500000US040130506041,040130506041,"Block Group 1, Census Tract 506.04, Maricopa County, Arizona",51364,24794
1500000US040130506042,040130506042,"Block Group 2, Census Tract 506.04, Maricopa County, Arizona",51250,33732
1500000US040130506051,040130506051,"Block Group 1, Census Tract 506.05, Maricopa County, Arizona",53050,9838
1500000US040130506052,040130506052,"Block Group 2, Census Tract 506.05, Maricopa County, Arizona",82963,7868
1500000US040130506053,040130506053,"Block Group 3, Census Tract 506.05, Maricopa County, Arizona",67266,12946
1500000US040130506061,040130506061,"Block Group 1, Census Tract 506.06, Maricopa County, Arizona",73668,24988
1500000US040130506062,040130506062,"Block Group 2, Census Tract 506.06, Maricopa County, Arizona",84034,11377
1500000US040130506063,040130506063,"Block Group 3, Census Tract 506.06, Maricopa County, Arizona",67977,17119
1500000US040130506071,040130506071,"Block Group 1, Census Tract 506.07, Maricopa County, Arizona",28542,21235
1500000US040130506072,040130506072,"Block Group 2, Census Tract 506.07, Maricopa County, Arizona",41545,7294
1500000US040130506073,040130506073,"Block Group 3, Census Tract 506.07, Maricopa County, Arizona",73173,9498
1500000US040130506074,040130506074,"Block Group 4, Census Tract 506.07, Maricopa County, Arizona",68805,3369
1500000US040130506075,040130506075,"Block Group 5, Census Tract 506.07, Maricopa County, Arizona",60679,13216
1500000US040130506081,040130506081,"Block Group 1, Census Tract 506.08, Maricopa County, Arizona",61500,38452
1500000US040130506082,040130506082,"Block Group 2, Census Tract 506.08, Maricopa County, Arizona",33750,10822
1500000US040130506083,040130506083,"Block Group 3, Census Tract 506.08, Maricopa County, Arizona",67708,19785
1500000US040130506084,040130506084,"Block Group 4, Census Tract 506.08, Maricopa County, Arizona",53537,10170
1500000US040130506091,040130506091,"Block Group 1, Census Tract 506.09, Maricopa County, Arizona",71250,25859
1500000US040130506092,040130506092,"Block Group 2, Census Tract 506.09, Maricopa County, Arizona",31871,2993
1500000US040130506093,040130506093,"Block Group 3, Census Tract 506.09, Maricopa County, Arizona",48521,7206
1500000US040130506101,040130506101,"Block Group 1, Census Tract 506.10, Maricopa County, Arizona",84918,13150
1500000US040130506102,040130506102,"Block Group 2, Census Tract 506.10, Maricopa County, Arizona",65601,9377
1500000US040130506103,040130506103,"Block Group 3, Census Tract 506.10, Maricopa County, Arizona",61172,84774
1500000US040130506111,040130506111,"Block Group 1, Census Tract 506.11, Maricopa County, Arizona",76250,8485
1500000US040130506112,040130506112,"Block Group 2, Census Tract 506.11, Maricopa County, Arizona",106375,46745
1500000US040130507011,040130507011,"Block Group 1, Census Tract 507.01, Maricopa County, Arizona",55168,12278
1500000US040130507012,040130507012,"Block Group 2, Census Tract 507.01, Maricopa County, Arizona",38438,5654
1500000US040130507021,040130507021,"Block Group 1, Census Tract 507.02, Maricopa County, Arizona",30278,8067
1500000US040130507022,040130507022,"Block Group 2, Census Tract 507.02, Maricopa County, Arizona",42721,26972
1500000US040130507023,040130507023,"Block Group 3, Census Tract 507.02, Maricopa County, Arizona",23810,12915
1500000US040130608011,040130608011,"Block Group 1, Census Tract 608.01, Maricopa County, Arizona",65625,53202
1500000US040130608012,040130608012,"Block Group 2, Census Tract 608.01, Maricopa County, Arizona",31744,22178
1500000US040130608013,040130608013,"Block Group 3, Census Tract 608.01, Maricopa County, Arizona",34318,12120
1500000US040130608014,040130608014,"Block Group 4, Census Tract 608.01, Maricopa County, Arizona",27624,3258
1500000US040130608015,040130608015,"Block Group 5, Census Tract 608.01, Maricopa County, Arizona",34082,10985
1500000US040130608021,040130608021,"Block Group 1, Census Tract 608.02, Maricopa County, Arizona",55042,11475
1500000US040130608022,040130608022,"Block Group 2, Census Tract 608.02, Maricopa County, Arizona",60990,29824
1500000US040130609011,040130609011,"Block Group 1, Census Tract 609.01, Maricopa County, Arizona",16618,19520
1500000US040130609012,040130609012,"Block Group 2, Census Tract 609.01, Maricopa County, Arizona",54937,2710
1500000US040130609013,040130609013,"Block Group 3, Census Tract 609.01, Maricopa County, Arizona",62552,12319
1500000US040130609021,040130609021,"Block Group 1, Census Tract 609.02, Maricopa County, Arizona",50984,9358
1500000US040130609022,040130609022,"Block Group 2, Census Tract 609.02, Maricopa County, Arizona",35526,5428
1500000US040130609023,040130609023,"Block Group 3, Census Tract 609.02, Maricopa County, Arizona",24722,6606
1500000US040130609031,040130609031,"Block Group 1, Census Tract 609.03, Maricopa County, Arizona",29931,24687
1500000US040130609032,040130609032,"Block Group 2, Census Tract 609.03, Maricopa County, Arizona",34464,10487
1500000US040130609033,040130609033,"Block Group 3, Census Tract 609.03, Maricopa County, Arizona",31491,10603
1500000US040130609034,040130609034,"Block Group 4, Census Tract 609.03, Maricopa County, Arizona",37188,18197
1500000US040130609041,040130609041,"Block Group 1, Census Tract 609.04, Maricopa County, Arizona",18232,7127
1500000US040130609042,040130609042,"Block Group 2, Census Tract 609.04, Maricopa County, Arizona",32872,9801
1500000US040130609043,040130609043,"Block Group 3, Census Tract 609.04, Maricopa County, Arizona",46643,9367
1500000US040130610091,040130610091,"Block Group 1, Census Tract 610.09, Maricopa County, Arizona",60600,14499
1500000US040130610092,040130610092,"Block Group 2, Census Tract 610.09, Maricopa County, Arizona",42254,27797
1500000US040130610093,040130610093,"Block Group 3, Census Tract 610.09, Maricopa County, Arizona",93963,10925
1500000US040130610094,040130610094,"Block Group 4, Census Tract 610.09, Maricopa County, Arizona",56635,19489
1500000US040130610101,040130610101,"Block Group 1, Census Tract 610.10, Maricopa County, Arizona",50898,5518
1500000US040130610102,040130610102,"Block Group 2, Census Tract 610.10, Maricopa County, Arizona",88203,34695
1500000US040130610103,040130610103,"Block Group 3, Census Tract 610.10, Maricopa County, Arizona",94907,18638
1500000US040130610111,040130610111,"Block Group 1, Census Tract 610.11, Maricopa County, Arizona",42500,15940
1500000US040130610112,040130610112,"Block Group 2, Census Tract 610.11, Maricopa County, Arizona",52159,7120
1500000US040130610121,040130610121,"Block Group 1, Census Tract 610.12, Maricopa County, Arizona",54471,18395
1500000US040130610122,040130610122,"Block Group 2, Census Tract 610.12, Maricopa County, Arizona",32321,15834
1500000US040130610123,040130610123,"Block Group 3, Census Tract 610.12, Maricopa County, Arizona",91970,8468
1500000US040130610124,040130610124,"Block Group 4, Census Tract 610.12, Maricopa County, Arizona",62931,13013
1500000US040130610131,040130610131,"Block Group 1, Census Tract 610.13, Maricopa County, Arizona",58865,20334
1500000US040130610132,040130610132,"Block Group 2, Census Tract 610.13, Maricopa County, Arizona",74250,35202
1500000US040130610141,040130610141,"Block Group 1, Census Tract 610.14, Maricopa County, Arizona",43517,20221
1500000US040130610142,040130610142,"Block Group 2, Census Tract 610.14, Maricopa County, Arizona",86250,37403
1500000US040130610151,040130610151,"Block Group 1, Census Tract 610.15, Maricopa County, Arizona",65278,7699
1500000US040130610152,040130610152,"Block Group 2, Census Tract 610.15, Maricopa County, Arizona",49977,17831
1500000US040130610153,040130610153,"Block Group 3, Census Tract 610.15, Maricopa County, Arizona",88012,7140
1500000US040130610161,040130610161,"Block Group 1, Census Tract 610.16, Maricopa County, Arizona",75156,16546
1500000US040130610171,040130610171,"Block Group 1, Census Tract 610.17, Maricopa County, Arizona",-,**
1500000US040130610181,040130610181,"Block Group 1, Census Tract 610.18, Maricopa County, Arizona",91154,16591
1500000US040130610182,040130610182,"Block Group 2, Census Tract 610.18, Maricopa County, Arizona",67530,12861
1500000US040130610183,040130610183,"Block Group 3, Census Tract 610.18, Maricopa County, Arizona",63717,15217
1500000US040130610191,040130610191,"Block Group 1, Census Tract 610.19, Maricopa County, Arizona",44415,55455
1500000US040130610192,040130610192,"Block Group 2, Census Tract 610.19, Maricopa County, Arizona",37438,8802
1500000US040130610193,040130610193,"Block Group 3, Census Tract 610.19, Maricopa County, Arizona",68840,6998
1500000US040130610201,040130610201,"Block Group 1, Census Tract 610.20, Maricopa County, Arizona",82240,31864
1500000US040130610202,040130610202,"Block Group 2, Census Tract 610.20, Maricopa County, Arizona",95500,12566
1500000US040130610203,040130610203,"Block Group 3, Census Tract 610.20, Maricopa County, Arizona",110400,39891
1500000US040130610211,040130610211,"Block Group 1, Census Tract 610.21, Maricopa County, Arizona",78393,8529
1500000US040130610221,040130610221,"Block Group 1, Census Tract 610.22, Maricopa County, Arizona",74565,8324
1500000US040130610222,040130610222,"Block Group 2, Census Tract 610.22, Maricopa County, Arizona",57939,20746
1500000US040130610223,040130610223,"Block Group 3, Census Tract 610.22, Maricopa County, Arizona",50402,9306
1500000US040130610231,040130610231,"Block Group 1, Census Tract 610.23, Maricopa County, Arizona",67292,33948
1500000US040130610232,040130610232,"Block Group 2, Census Tract 610.23, Maricopa County, Arizona",90388,36196
1500000US040130610233,040130610233,"Block Group 3, Census Tract 610.23, Maricopa County, Arizona",92526,21954
1500000US040130610234,040130610234,"Block Group 4, Census Tract 610.23, Maricopa County, Arizona",86150,30319
1500000US040130610241,040130610241,"Block Group 1, Census Tract 610.24, Maricopa County, Arizona",60385,13434
1500000US040130610251,040130610251,"Block Group 1, Census Tract 610.25, Maricopa County, Arizona",76250,24578
1500000US040130610252,040130610252,"Block Group 2, Census Tract 610.25, Maricopa County, Arizona",74475,12666
1500000US040130610253,040130610253,"Block Group 3, Census Tract 610.25, Maricopa County, Arizona",69250,12811
1500000US040130610261,040130610261,"Block Group 1, Census Tract 610.26, Maricopa County, Arizona",57210,9267
1500000US040130610262,040130610262,"Block Group 2, Census Tract 610.26, Maricopa County, Arizona",61417,14913
