GEO.id,GEO.id2,GEO.display-label,D002,D003,D004
Id,Id2,Geography,Median age -- - Both sexes,Median age -- - Male,Median age -- - Female
1500000US040070001001,040070001001,"Block Group 1, Census Tract 1, Gila County, Arizona",62.1,62.4,62.0
1500000US040070001002,040070001002,"Block Group 2, Census Tract 1, Gila County, Arizona",57.4,57.2,57.6
1500000US040070001003,040070001003,"Block Group 3, Census Tract 1, Gila County, Arizona",62.3,62.7,61.7
1500000US040070001004,040070001004,"Block Group 4, Census Tract 1, Gila County, Arizona",57.6,55.9,58.8
1500000US040070002001,040070002001,"Block Group 1, Census Tract 2, Gila County, Arizona",59.1,60.5,57.6
1500000US040070002002,040070002002,"Block Group 2, Census Tract 2, Gila County, Arizona",54.7,55.8,54.1
1500000US040070002003,040070002003,"Block Group 3, Census Tract 2, Gila County, Arizona",51.3,50.3,52.3
1500000US040070003011,040070003011,"Block Group 1, Census Tract 3.01, Gila County, Arizona",60.7,60.7,60.7
1500000US040070003012,040070003012,"Block Group 2, Census Tract 3.01, Gila County, Arizona",42.2,40.9,43.1
1500000US040070003021,040070003021,"Block Group 1, Census Tract 3.02, Gila County, Arizona",55.5,55.5,55.6
1500000US040070003022,040070003022,"Block Group 2, Census Tract 3.02, Gila County, Arizona",50.9,49.5,52.0
1500000US040070003023,040070003023,"Block Group 3, Census Tract 3.02, Gila County, Arizona",42.3,38.1,46.8
1500000US040070004001,040070004001,"Block Group 1, Census Tract 4, Gila County, Arizona",56.0,53.7,57.5
1500000US040070004002,040070004002,"Block Group 2, Census Tract 4, Gila County, Arizona",51.8,49.9,54.7
1500000US040070004003,040070004003,"Block Group 3, Census Tract 4, Gila County, Arizona",57.8,57.8,57.8
1500000US040070005001,040070005001,"Block Group 1, Census Tract 5, Gila County, Arizona",53.6,50.6,55.3
1500000US040070005002,040070005002,"Block Group 2, Census Tract 5, Gila County, Arizona",43.0,38.7,46.1
1500000US040070005003,040070005003,"Block Group 3, Census Tract 5, Gila County, Arizona",51.6,51.1,52.1
1500000US040070006001,040070006001,"Block Group 1, Census Tract 6, Gila County, Arizona",50.4,49.3,51.4
1500000US040070006002,040070006002,"Block Group 2, Census Tract 6, Gila County, Arizona",56.2,56.5,56.1
1500000US040070007001,040070007001,"Block Group 1, Census Tract 7, Gila County, Arizona",61.5,62.2,60.6
1500000US040070008001,040070008001,"Block Group 1, Census Tract 8, Gila County, Arizona",62.2,63.3,61.6
1500000US040070008002,040070008002,"Block Group 2, Census Tract 8, Gila County, Arizona",49.3,46.7,51.2
1500000US040070009001,040070009001,"Block Group 1, Census Tract 9, Gila County, Arizona",39.2,39.2,39.5
1500000US040070009002,040070009002,"Block Group 2, Census Tract 9, Gila County, Arizona",45.3,44.4,46.1
1500000US040070010001,040070010001,"Block Group 1, Census Tract 10, Gila County, Arizona",49.2,48.2,50.2
1500000US040070010002,040070010002,"Block Group 2, Census Tract 10, Gila County, Arizona",40.3,41.3,39.8
1500000US040070010003,040070010003,"Block Group 3, Census Tract 10, Gila County, Arizona",43.5,39.8,45.0
1500000US040070010004,040070010004,"Block Group 4, Census Tract 10, Gila County, Arizona",38.8,39.5,38.4
1500000US040070010005,040070010005,"Block Group 5, Census Tract 10, Gila County, Arizona",43.5,44.0,43.2
1500000US040070011001,040070011001,"Block Group 1, Census Tract 11, Gila County, Arizona",46.9,45.6,48.0
1500000US040070011002,040070011002,"Block Group 2, Census Tract 11, Gila County, Arizona",40.9,39.7,45.2
1500000US040070011003,040070011003,"Block Group 3, Census Tract 11, Gila County, Arizona",40.9,39.5,43.3
1500000US040070011004,040070011004,"Block Group 4, Census Tract 11, Gila County, Arizona",45.1,44.8,46.0
1500000US040070011005,040070011005,"Block Group 5, Census Tract 11, Gila County, Arizona",44.8,42.2,48.0
1500000US040070012001,040070012001,"Block Group 1, Census Tract 12, Gila County, Arizona",38.8,37.2,44.9
