GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004
Id,Id2,Geography,Total population in occupied housing units:,Owned with a mortgage or a loan,Owned free and clear,Renter occupied
1500000US040130101011,040130101011,"Block Group 1, Census Tract 101.01, Maricopa County, Arizona",2157,1751,186,220
1500000US040130101012,040130101012,"Block Group 2, Census Tract 101.01, Maricopa County, Arizona",1716,1183,393,140
1500000US040130101013,040130101013,"Block Group 3, Census Tract 101.01, Maricopa County, Arizona",1200,532,640,28
1500000US040130101021,040130101021,"Block Group 1, Census Tract 101.02, Maricopa County, Arizona",859,613,135,111
1500000US040130101022,040130101022,"Block Group 2, Census Tract 101.02, Maricopa County, Arizona",1728,1278,308,142
1500000US040130101023,040130101023,"Block Group 3, Census Tract 101.02, Maricopa County, Arizona",2053,1237,742,74
1500000US040130304011,040130304011,"Block Group 1, Census Tract 304.01, Maricopa County, Arizona",1642,1047,490,105
1500000US040130304012,040130304012,"Block Group 2, Census Tract 304.01, Maricopa County, Arizona",1211,686,311,214
1500000US040130304013,040130304013,"Block Group 3, Census Tract 304.01, Maricopa County, Arizona",1383,943,342,98
1500000US040130304021,040130304021,"Block Group 1, Census Tract 304.02, Maricopa County, Arizona",690,471,167,52
1500000US040130304022,040130304022,"Block Group 2, Census Tract 304.02, Maricopa County, Arizona",1616,987,336,293
1500000US040130304023,040130304023,"Block Group 3, Census Tract 304.02, Maricopa County, Arizona",1589,1085,233,271
1500000US040130405021,040130405021,"Block Group 1, Census Tract 405.02, Maricopa County, Arizona",453,157,130,166
1500000US040130405022,040130405022,"Block Group 2, Census Tract 405.02, Maricopa County, Arizona",706,310,156,240
1500000US040130405023,040130405023,"Block Group 3, Census Tract 405.02, Maricopa County, Arizona",2285,862,454,969
1500000US040130405024,040130405024,"Block Group 4, Census Tract 405.02, Maricopa County, Arizona",1248,559,340,349
1500000US040130405061,040130405061,"Block Group 1, Census Tract 405.06, Maricopa County, Arizona",1734,576,981,177
1500000US040130405062,040130405062,"Block Group 2, Census Tract 405.06, Maricopa County, Arizona",1258,471,680,107
1500000US040130405063,040130405063,"Block Group 3, Census Tract 405.06, Maricopa County, Arizona",989,394,539,56
1500000US040130405064,040130405064,"Block Group 4, Census Tract 405.06, Maricopa County, Arizona",1228,505,647,76
1500000US040130405071,040130405071,"Block Group 1, Census Tract 405.07, Maricopa County, Arizona",1348,378,917,53
1500000US040130405072,040130405072,"Block Group 2, Census Tract 405.07, Maricopa County, Arizona",2326,586,1063,677
1500000US040130405073,040130405073,"Block Group 3, Census Tract 405.07, Maricopa County, Arizona",751,303,376,72
1500000US040130405074,040130405074,"Block Group 4, Census Tract 405.07, Maricopa County, Arizona",787,306,432,49
1500000US040130405075,040130405075,"Block Group 5, Census Tract 405.07, Maricopa County, Arizona",699,219,441,39
1500000US040130405121,040130405121,"Block Group 1, Census Tract 405.12, Maricopa County, Arizona",1690,558,1072,60
1500000US040130405131,040130405131,"Block Group 1, Census Tract 405.13, Maricopa County, Arizona",1365,400,910,55
1500000US040130405132,040130405132,"Block Group 2, Census Tract 405.13, Maricopa County, Arizona",1666,508,1127,31
1500000US040130405141,040130405141,"Block Group 1, Census Tract 405.14, Maricopa County, Arizona",1922,726,1089,107
1500000US040130405142,040130405142,"Block Group 2, Census Tract 405.14, Maricopa County, Arizona",1182,421,701,60
1500000US040130405151,040130405151,"Block Group 1, Census Tract 405.15, Maricopa County, Arizona",2436,960,951,525
1500000US040130405152,040130405152,"Block Group 2, Census Tract 405.15, Maricopa County, Arizona",2276,1325,688,263
1500000US040130405161,040130405161,"Block Group 1, Census Tract 405.16, Maricopa County, Arizona",782,592,70,120
1500000US040130405162,040130405162,"Block Group 2, Census Tract 405.16, Maricopa County, Arizona",2074,1384,564,126
1500000US040130405171,040130405171,"Block Group 1, Census Tract 405.17, Maricopa County, Arizona",4058,2616,563,879
1500000US040130405172,040130405172,"Block Group 2, Census Tract 405.17, Maricopa County, Arizona",3563,2182,688,693
1500000US040130405181,040130405181,"Block Group 1, Census Tract 405.18, Maricopa County, Arizona",1726,762,547,417
1500000US040130405182,040130405182,"Block Group 2, Census Tract 405.18, Maricopa County, Arizona",1866,1486,172,208
1500000US040130405183,040130405183,"Block Group 3, Census Tract 405.18, Maricopa County, Arizona",1056,933,38,85
1500000US040130405184,040130405184,"Block Group 4, Census Tract 405.18, Maricopa County, Arizona",1126,878,38,210
1500000US040130405185,040130405185,"Block Group 5, Census Tract 405.18, Maricopa County, Arizona",864,696,97,71
1500000US040130405191,040130405191,"Block Group 1, Census Tract 405.19, Maricopa County, Arizona",1785,1423,224,138
1500000US040130405192,040130405192,"Block Group 2, Census Tract 405.19, Maricopa County, Arizona",751,498,198,55
1500000US040130405193,040130405193,"Block Group 3, Census Tract 405.19, Maricopa County, Arizona",1059,726,243,90
1500000US040130405201,040130405201,"Block Group 1, Census Tract 405.20, Maricopa County, Arizona",2537,1952,71,514
1500000US040130405202,040130405202,"Block Group 2, Census Tract 405.20, Maricopa County, Arizona",1605,1134,69,402
1500000US040130405211,040130405211,"Block Group 1, Census Tract 405.21, Maricopa County, Arizona",4560,3825,159,576
1500000US040130405221,040130405221,"Block Group 1, Census Tract 405.22, Maricopa County, Arizona",1771,589,919,263
1500000US040130405222,040130405222,"Block Group 2, Census Tract 405.22, Maricopa County, Arizona",1310,470,796,44
1500000US040130405223,040130405223,"Block Group 3, Census Tract 405.22, Maricopa County, Arizona",1100,348,726,26
1500000US040130405231,040130405231,"Block Group 1, Census Tract 405.23, Maricopa County, Arizona",3300,1716,1401,183
1500000US040130405241,040130405241,"Block Group 1, Census Tract 405.24, Maricopa County, Arizona",828,446,356,26
1500000US040130405242,040130405242,"Block Group 2, Census Tract 405.24, Maricopa County, Arizona",646,341,246,59
1500000US040130405251,040130405251,"Block Group 1, Census Tract 405.25, Maricopa County, Arizona",554,311,232,11
1500000US040130405252,040130405252,"Block Group 2, Census Tract 405.25, Maricopa County, Arizona",463,254,206,3
1500000US040130405253,040130405253,"Block Group 3, Census Tract 405.25, Maricopa County, Arizona",534,256,274,4
1500000US040130405254,040130405254,"Block Group 4, Census Tract 405.25, Maricopa County, Arizona",537,262,242,33
1500000US040130405255,040130405255,"Block Group 5, Census Tract 405.25, Maricopa County, Arizona",563,332,212,19
1500000US040130405256,040130405256,"Block Group 6, Census Tract 405.25, Maricopa County, Arizona",395,221,165,9
1500000US040130405261,040130405261,"Block Group 1, Census Tract 405.26, Maricopa County, Arizona",1144,642,462,40
1500000US040130405262,040130405262,"Block Group 2, Census Tract 405.26, Maricopa County, Arizona",325,174,140,11
1500000US040130405263,040130405263,"Block Group 3, Census Tract 405.26, Maricopa County, Arizona",896,483,396,17
1500000US040130405271,040130405271,"Block Group 1, Census Tract 405.27, Maricopa County, Arizona",576,213,325,38
1500000US040130405272,040130405272,"Block Group 2, Census Tract 405.27, Maricopa County, Arizona",1013,280,688,45
1500000US040130405273,040130405273,"Block Group 3, Census Tract 405.27, Maricopa County, Arizona",2580,1801,148,631
1500000US040130405281,040130405281,"Block Group 1, Census Tract 405.28, Maricopa County, Arizona",946,428,490,28
1500000US040130405282,040130405282,"Block Group 2, Census Tract 405.28, Maricopa County, Arizona",956,444,487,25
1500000US040130405283,040130405283,"Block Group 3, Census Tract 405.28, Maricopa County, Arizona",790,320,458,12
1500000US040130405284,040130405284,"Block Group 4, Census Tract 405.28, Maricopa County, Arizona",821,362,431,28
1500000US040130405285,040130405285,"Block Group 5, Census Tract 405.28, Maricopa County, Arizona",1330,625,637,68
1500000US040130405286,040130405286,"Block Group 6, Census Tract 405.28, Maricopa County, Arizona",1369,653,682,34
1500000US040130405291,040130405291,"Block Group 1, Census Tract 405.29, Maricopa County, Arizona",1047,557,456,34
1500000US040130405292,040130405292,"Block Group 2, Census Tract 405.29, Maricopa County, Arizona",739,370,361,8
1500000US040130405293,040130405293,"Block Group 3, Census Tract 405.29, Maricopa County, Arizona",223,55,93,75
1500000US040130405294,040130405294,"Block Group 4, Census Tract 405.29, Maricopa County, Arizona",1213,623,563,27
1500000US040130405301,040130405301,"Block Group 1, Census Tract 405.30, Maricopa County, Arizona",1613,1055,77,481
1500000US040130405302,040130405302,"Block Group 2, Census Tract 405.30, Maricopa County, Arizona",1931,1276,132,523
1500000US040130405311,040130405311,"Block Group 1, Census Tract 405.31, Maricopa County, Arizona",1369,708,111,550
1500000US040130405312,040130405312,"Block Group 2, Census Tract 405.31, Maricopa County, Arizona",829,381,401,47
1500000US040130405313,040130405313,"Block Group 3, Census Tract 405.31, Maricopa County, Arizona",242,22,11,209
1500000US040130405314,040130405314,"Block Group 4, Census Tract 405.31, Maricopa County, Arizona",953,351,479,123
1500000US040130506031,040130506031,"Block Group 1, Census Tract 506.03, Maricopa County, Arizona",1116,545,123,448
1500000US040130506032,040130506032,"Block Group 2, Census Tract 506.03, Maricopa County, Arizona",2888,1766,471,651
1500000US040130506033,040130506033,"Block Group 3, Census Tract 506.03, Maricopa County, Arizona",532,212,97,223
1500000US040130506041,040130506041,"Block Group 1, Census Tract 506.04, Maricopa County, Arizona",2491,1534,399,558
1500000US040130506042,040130506042,"Block Group 2, Census Tract 506.04, Maricopa County, Arizona",1236,483,224,529
1500000US040130506051,040130506051,"Block Group 1, Census Tract 506.05, Maricopa County, Arizona",2050,1481,159,410
1500000US040130506052,040130506052,"Block Group 2, Census Tract 506.05, Maricopa County, Arizona",1604,1345,74,185
1500000US040130506053,040130506053,"Block Group 3, Census Tract 506.05, Maricopa County, Arizona",2174,1426,109,639
1500000US040130506061,040130506061,"Block Group 1, Census Tract 506.06, Maricopa County, Arizona",1556,1340,100,116
1500000US040130506062,040130506062,"Block Group 2, Census Tract 506.06, Maricopa County, Arizona",2608,1633,138,837
1500000US040130506063,040130506063,"Block Group 3, Census Tract 506.06, Maricopa County, Arizona",2630,2049,196,385
1500000US040130506071,040130506071,"Block Group 1, Census Tract 506.07, Maricopa County, Arizona",944,263,110,571
1500000US040130506072,040130506072,"Block Group 2, Census Tract 506.07, Maricopa County, Arizona",951,683,59,209
1500000US040130506073,040130506073,"Block Group 3, Census Tract 506.07, Maricopa County, Arizona",1861,1226,94,541
1500000US040130506074,040130506074,"Block Group 4, Census Tract 506.07, Maricopa County, Arizona",1298,940,51,307
1500000US040130506075,040130506075,"Block Group 5, Census Tract 506.07, Maricopa County, Arizona",1451,1005,68,378
1500000US040130506081,040130506081,"Block Group 1, Census Tract 506.08, Maricopa County, Arizona",1610,1029,70,511
1500000US040130506082,040130506082,"Block Group 2, Census Tract 506.08, Maricopa County, Arizona",1042,643,274,125
1500000US040130506083,040130506083,"Block Group 3, Census Tract 506.08, Maricopa County, Arizona",2232,1469,123,640
1500000US040130506084,040130506084,"Block Group 4, Census Tract 506.08, Maricopa County, Arizona",2279,1635,79,565
1500000US040130506091,040130506091,"Block Group 1, Census Tract 506.09, Maricopa County, Arizona",2229,1349,99,781
1500000US040130506092,040130506092,"Block Group 2, Census Tract 506.09, Maricopa County, Arizona",1000,610,252,138
1500000US040130506093,040130506093,"Block Group 3, Census Tract 506.09, Maricopa County, Arizona",1645,1080,80,485
1500000US040130506101,040130506101,"Block Group 1, Census Tract 506.10, Maricopa County, Arizona",3498,2616,175,707
1500000US040130506102,040130506102,"Block Group 2, Census Tract 506.10, Maricopa County, Arizona",3316,2211,196,909
1500000US040130506103,040130506103,"Block Group 3, Census Tract 506.10, Maricopa County, Arizona",1088,829,118,141
1500000US040130506111,040130506111,"Block Group 1, Census Tract 506.11, Maricopa County, Arizona",3447,2771,118,558
1500000US040130506112,040130506112,"Block Group 2, Census Tract 506.11, Maricopa County, Arizona",1030,597,139,294
1500000US040130507011,040130507011,"Block Group 1, Census Tract 507.01, Maricopa County, Arizona",2697,1952,149,596
1500000US040130507012,040130507012,"Block Group 2, Census Tract 507.01, Maricopa County, Arizona",2395,1145,491,759
1500000US040130507021,040130507021,"Block Group 1, Census Tract 507.02, Maricopa County, Arizona",1703,653,172,878
1500000US040130507022,040130507022,"Block Group 2, Census Tract 507.02, Maricopa County, Arizona",1598,774,109,715
1500000US040130507023,040130507023,"Block Group 3, Census Tract 507.02, Maricopa County, Arizona",1969,849,223,897
1500000US040130608011,040130608011,"Block Group 1, Census Tract 608.01, Maricopa County, Arizona",1283,417,264,602
1500000US040130608012,040130608012,"Block Group 2, Census Tract 608.01, Maricopa County, Arizona",1295,236,199,860
1500000US040130608013,040130608013,"Block Group 3, Census Tract 608.01, Maricopa County, Arizona",1078,448,239,391
1500000US040130608014,040130608014,"Block Group 4, Census Tract 608.01, Maricopa County, Arizona",1141,151,629,361
1500000US040130608015,040130608015,"Block Group 5, Census Tract 608.01, Maricopa County, Arizona",979,354,204,421
1500000US040130608021,040130608021,"Block Group 1, Census Tract 608.02, Maricopa County, Arizona",717,432,128,157
1500000US040130608022,040130608022,"Block Group 2, Census Tract 608.02, Maricopa County, Arizona",1258,1038,26,194
1500000US040130609011,040130609011,"Block Group 1, Census Tract 609.01, Maricopa County, Arizona",622,273,74,275
1500000US040130609012,040130609012,"Block Group 2, Census Tract 609.01, Maricopa County, Arizona",1809,1140,40,629
1500000US040130609013,040130609013,"Block Group 3, Census Tract 609.01, Maricopa County, Arizona",2203,1459,62,682
1500000US040130609021,040130609021,"Block Group 1, Census Tract 609.02, Maricopa County, Arizona",971,656,27,288
1500000US040130609022,040130609022,"Block Group 2, Census Tract 609.02, Maricopa County, Arizona",1214,520,199,495
1500000US040130609023,040130609023,"Block Group 3, Census Tract 609.02, Maricopa County, Arizona",1657,414,374,869
1500000US040130609031,040130609031,"Block Group 1, Census Tract 609.03, Maricopa County, Arizona",818,400,23,395
1500000US040130609032,040130609032,"Block Group 2, Census Tract 609.03, Maricopa County, Arizona",1135,778,97,260
1500000US040130609033,040130609033,"Block Group 3, Census Tract 609.03, Maricopa County, Arizona",1643,1015,50,578
1500000US040130609034,040130609034,"Block Group 4, Census Tract 609.03, Maricopa County, Arizona",1387,815,27,545
1500000US040130609041,040130609041,"Block Group 1, Census Tract 609.04, Maricopa County, Arizona",845,235,131,479
1500000US040130609042,040130609042,"Block Group 2, Census Tract 609.04, Maricopa County, Arizona",1547,883,61,603
1500000US040130609043,040130609043,"Block Group 3, Census Tract 609.04, Maricopa County, Arizona",1135,712,23,400
1500000US040130610091,040130610091,"Block Group 1, Census Tract 610.09, Maricopa County, Arizona",3151,1875,67,1209
1500000US040130610092,040130610092,"Block Group 2, Census Tract 610.09, Maricopa County, Arizona",1969,1258,32,679
1500000US040130610093,040130610093,"Block Group 3, Census Tract 610.09, Maricopa County, Arizona",1279,828,357,94
1500000US040130610094,040130610094,"Block Group 4, Census Tract 610.09, Maricopa County, Arizona",1899,942,44,913
1500000US040130610101,040130610101,"Block Group 1, Census Tract 610.10, Maricopa County, Arizona",1591,906,212,473
1500000US040130610102,040130610102,"Block Group 2, Census Tract 610.10, Maricopa County, Arizona",1576,1039,398,139
1500000US040130610103,040130610103,"Block Group 3, Census Tract 610.10, Maricopa County, Arizona",1471,1037,203,231
1500000US040130610111,040130610111,"Block Group 1, Census Tract 610.11, Maricopa County, Arizona",1407,810,235,362
1500000US040130610112,040130610112,"Block Group 2, Census Tract 610.11, Maricopa County, Arizona",4295,2418,201,1676
1500000US040130610121,040130610121,"Block Group 1, Census Tract 610.12, Maricopa County, Arizona",2159,1451,74,634
1500000US040130610122,040130610122,"Block Group 2, Census Tract 610.12, Maricopa County, Arizona",1579,563,96,920
1500000US040130610123,040130610123,"Block Group 3, Census Tract 610.12, Maricopa County, Arizona",2063,1448,151,464
1500000US040130610124,040130610124,"Block Group 4, Census Tract 610.12, Maricopa County, Arizona",1714,874,88,752
1500000US040130610131,040130610131,"Block Group 1, Census Tract 610.13, Maricopa County, Arizona",2905,1720,67,1118
1500000US040130610132,040130610132,"Block Group 2, Census Tract 610.13, Maricopa County, Arizona",2804,1495,103,1206
1500000US040130610141,040130610141,"Block Group 1, Census Tract 610.14, Maricopa County, Arizona",2974,1521,56,1397
1500000US040130610142,040130610142,"Block Group 2, Census Tract 610.14, Maricopa County, Arizona",1931,1410,65,456
1500000US040130610151,040130610151,"Block Group 1, Census Tract 610.15, Maricopa County, Arizona",2395,1721,129,545
1500000US040130610152,040130610152,"Block Group 2, Census Tract 610.15, Maricopa County, Arizona",1195,770,49,376
1500000US040130610153,040130610153,"Block Group 3, Census Tract 610.15, Maricopa County, Arizona",2167,1670,106,391
