GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1500000US040130101011,040130101011,"Block Group 1, Census Tract 101.01, Maricopa County, Arizona",2157,1065,56,91,60,40,20,6,10,14,26,44,68,90,113,135,104,30,50,29,30,25,12,5,7,1092,53,81,71,42,12,7,7,11,32,50,86,115,161,124,94,24,50,22,11,18,15,3,3
1500000US040130101012,040130101012,"Block Group 2, Census Tract 101.01, Maricopa County, Arizona",1716,847,35,34,30,19,11,6,4,6,15,25,43,45,69,58,64,34,43,42,74,96,54,27,13,869,33,26,37,21,8,4,1,9,16,24,41,52,75,69,98,40,50,43,67,80,42,19,14
1500000US040130101013,040130101013,"Block Group 3, Census Tract 101.01, Maricopa County, Arizona",1200,581,0,0,0,0,1,0,0,1,0,0,2,2,6,10,25,26,55,52,62,116,96,89,38,619,0,0,0,0,0,0,0,1,1,0,1,2,10,23,52,34,54,44,80,111,99,64,43
1500000US040130101021,040130101021,"Block Group 1, Census Tract 101.02, Maricopa County, Arizona",859,431,9,22,21,17,13,0,3,9,10,14,23,35,35,45,50,23,27,10,23,18,19,2,3,428,20,15,30,17,5,7,5,10,13,10,30,27,53,42,49,26,23,9,11,10,11,2,3
1500000US040130101022,040130101022,"Block Group 2, Census Tract 101.02, Maricopa County, Arizona",1728,854,30,49,34,18,13,8,1,10,12,21,32,48,73,58,105,44,91,52,59,51,25,10,10,874,36,37,51,28,9,3,4,7,15,24,47,46,69,99,123,43,81,34,40,34,18,12,14
1500000US040130101023,040130101023,"Block Group 3, Census Tract 101.02, Maricopa County, Arizona",2053,1041,8,20,22,30,8,1,4,7,8,8,19,14,41,77,120,70,141,84,116,135,66,32,10,1012,8,18,15,24,14,1,1,9,9,7,19,40,51,101,170,82,126,69,91,91,41,14,11
1500000US040130304011,040130304011,"Block Group 1, Census Tract 304.01, Maricopa County, Arizona",1689,815,10,24,31,29,9,3,1,10,7,8,11,28,51,82,85,44,83,38,65,89,53,26,28,874,15,16,21,27,13,4,0,4,6,7,29,33,66,90,104,53,76,53,60,67,48,33,49
1500000US040130304012,040130304012,"Block Group 2, Census Tract 304.01, Maricopa County, Arizona",1211,594,6,15,18,17,13,1,0,7,9,6,14,22,43,43,77,34,49,22,47,56,46,31,18,617,7,13,16,15,4,1,1,7,8,3,15,28,51,66,81,38,62,30,27,47,41,37,19
1500000US040130304013,040130304013,"Block Group 3, Census Tract 304.01, Maricopa County, Arizona",1383,675,15,45,41,28,9,4,1,6,6,11,24,35,62,57,49,28,39,29,42,53,53,30,8,708,24,38,43,25,9,2,1,5,5,12,43,44,58,65,66,32,50,26,53,45,38,15,9
